DOSE	REP	Ano	Prof	Presina	MO	pH	K	Ca	Mg	HAl	SB	CTC	V
0	1	2018	0.00-0.05	21.0	22.0	5.8	1.9	36.0	17.0	20.0	54.9	74.9	73.0
0	1	2018	0.05-0.10	17.0	22.0	5.8	1.3	35.0	18.0	20.0	54.3	74.3	73.0
0	1	2018	0.10-0.20	14.0	21.0	4.9	0.8	19.0	12.0	28.0	31.8	59.8	53.0
0	1	2018	0.20-0.40	8.0	20.0	5.2	0.9	23.0	14.0	28.0	37.4	65.4	57.0
0	2	2018	0.00-0.05	21.0	24.0	5.7	2.2	32.0	20.0	20.0	54.2	74.2	73.0
0	2	2018	0.05-0.10	19.0	21.0	5.5	1.5	26.0	17.0	25.0	44.5	69.5	64.0
0	2	2018	0.10-0.20	12.0	18.0	5.1	0.9	20.0	13.0	28.0	33.9	61.9	55.0
0	2	2018	0.20-0.40	8.0	16.0	5.2	0.9	23.0	13.0	31.0	36.4	67.4	54.0
10	1	2018	0.00-0.05	49.0	20.0	6.0	0.9	21.0	14.0	18.0	35.9	53.9	67.0
10	1	2018	0.05-0.10	20.0	19.0	5.8	1.2	28.0	14.0	18.0	43.2	61.2	71.0
10	1	2018	0.10-0.20	14.0	17.0	5.4	0.9	22.0	13.0	25.0	35.9	60.9	59.0
10	1	2018	0.20-0.40	17.0	18.0	4.9	1.0	19.0	10.0	31.0	30.0	61.0	49.0
Ad. Mineral	1	2018	0.00-0.05	21.0	20.0	5.7	1.8	32.0	16.0	20.0	49.8	69.8	71.0
Ad. Mineral	1	2018	0.05-0.10	18.0	18.0	5.6	1.0	29.0	14.0	20.0	44.0	64.0	69.0
Ad. Mineral	1	2018	0.10-0.20	13.0	18.0	5.2	0.8	19.0	12.0	31.0	31.8	62.8	51.0
Ad. Mineral	1	2018	0.20-0.40	13.0	19.0	5.8	1.2	28.0	13.0	25.0	42.2	67.2	63.0
10	2	2018	0.00-0.05	84.0	24.0	6.4	2.7	60.0	32.0	15.0	94.7	109.7	86.0
10	2	2018	0.05-0.10	26.0	21.0	6.1	1.6	35.0	18.0	18.0	54.6	72.6	75.0
10	2	2018	0.10-0.20	18.0	22.0	5.3	1.4	22.0	15.0	25.0	38.4	63.4	61.0
10	2	2018	0.20-0.40	7.0	16.0	4.9	1.0	16.0	10.0	25.0	27.0	52.0	52.0
5	1	2018	0.00-0.05	40.0	21.0	6.3	3.0	47.0	19.0	16.0	69.0	85.0	81.0
5	1	2018	0.05-0.10	23.0	20.0	6.1	1.3	41.0	17.0	18.0	59.3	77.3	77.0
5	1	2018	0.10-0.20	15.0	20.0	5.6	1.0	27.0	14.0	22.0	42.0	64.0	66.0
5	1	2018	0.20-0.40	12.0	21.0	5.5	1.3	17.0	13.0	22.0	30.8	52.8	58.0
10	3	2018	0.00-0.05	50.0	21.0	5.9	1.7	39.0	22.0	18.0	62.7	80.7	78.0
10	3	2018	0.05-0.10	23.0	21.0	5.6	1.0	29.0	15.0	22.0	45.0	67.0	67.0
10	3	2018	0.10-0.20	16.0	18.0	5.1	0.8	21.0	12.0	31.0	33.8	64.8	52.0
10	3	2018	0.20-0.40	19.0	19.0	5.3	0.9	17.0	12.0	25.0	29.9	54.9	54.0
Ad. Mineral	2	2018	0.00-0.05	37.0	23.0	5.9	2.1	35.0	17.0	18.0	54.1	72.1	75.0
Ad. Mineral	2	2018	0.05-0.10	21.0	20.0	5.8	1.2	34.0	13.0	20.0	48.2	68.2	71.0
Ad. Mineral	2	2018	0.10-0.20	16.0	19.0	5.9	0.8	35.0	13.0	18.0	48.8	66.8	73.0
Ad. Mineral	2	2018	0.20-0.40	5.0	17.0	4.9	0.9	15.0	13.0	28.0	28.6	56.6	51.0
12.5	1	2018	0.00-0.05	81.0	22.0	6.2	2.3	52.0	21.0	15.0	75.3	90.3	83.0
12.5	1	2018	0.05-0.10	24.0	19.0	6.0	1.1	39.0	17.0	18.0	57.1	75.1	76.0
12.5	1	2018	0.10-0.20	14.0	19.0	5.8	0.8	27.0	15.0	20.0	42.8	62.8	68.0
12.5	1	2018	0.20-0.40	13.0	19.0	5.4	1.3	24.0	13.0	25.0	38.3	63.3	61.0
5	2	2018	0.00-0.05	34.0	22.0	5.7	1.9	32.0	19.0	20.0	52.9	72.9	73.0
5	2	2018	0.05-0.10	19.0	21.0	5.5	1.1	28.0	15.0	25.0	44.1	69.1	64.0
