DOSE	REP	Ano	Prof	MACRO	MICRO	PT	DS	DMP	IEA	DMG	AGRI
0	1	2018	0.00-0.05	0.03	0.31	0.34	1.61	1.0	27.6	0.2	8.8
0	1	2018	0.05-0.10	0.07	0.28	0.35	1.64	0.6	54.4	0.3	4.0
0	1	2018	0.10-0.20	0.07	0.26	0.33	1.67	0.6	56.0	0.3	3.9
0	2	2018	0.00-0.05	0.14	0.24	0.37	1.45	0.7	62.7	0.4	6.1
0	2	2018	0.05-0.10	0.11	0.24	0.35	1.48	0.7	73.0	0.4	2.1
0	2	2018	0.10-0.20	0.11	0.24	0.35	1.62	0.6	56.3	0.3	3.7
10	1	2018	0.00-0.05	0.14	0.26	0.40	1.43	0.7	61.2	0.4	7.1
10	1	2018	0.05-0.10	0.16	0.25	0.41	1.43	0.6	67.6	0.4	3.6
10	1	2018	0.10-0.20	0.09	0.26	0.36	1.63	0.7	63.4	0.4	6.3
Ad. Mineral	1	2018	0.00-0.05	0.05	0.27	0.33	1.58	0.6	57.8	0.3	3.8
Ad. Mineral	1	2018	0.05-0.10	0.03	0.28	0.31	1.68	0.7	67.5	0.4	3.6
Ad. Mineral	1	2018	0.10-0.20	0.07	0.26	0.34	1.63	0.5	59.9	0.3	1.0
10	2	2018	0.00-0.05	0.09	0.33	0.42	1.88	1.0	66.0	0.5	12.3
10	2	2018	0.05-0.10	0.16	0.24	0.40	1.44	1.0	56.8	0.4	16.1
10	2	2018	0.10-0.20	0.14	0.25	0.38	1.53	0.5	57.4	0.3	2.8
5	1	2018	0.00-0.05	0.14	0.25	0.39	1.48	1.1	68.4	0.5	16.3
5	1	2018	0.05-0.10	0.12	0.25	0.38	1.49	1.0	67.9	0.5	12.3
5	1	2018	0.10-0.20	0.07	0.27	0.34	1.61	0.6	58.0	0.4	4.4
10	3	2018	0.00-0.05	0.07	0.28	0.35	1.60	0.7	61.9	0.4	4.9
10	3	2018	0.05-0.10	0.14	0.24	0.38	1.48	0.7	68.5	0.4	3.8
10	3	2018	0.10-0.20	0.11	0.24	0.35	1.63	0.9	77.9	0.5	8.5
Ad. Mineral	2	2018	0.00-0.05	0.12	0.26	0.38	1.46	0.8	57.4	0.3	8.7
Ad. Mineral	2	2018	0.05-0.10	0.18	0.22	0.40	1.40	0.9	73.8	0.5	5.4
Ad. Mineral	2	2018	0.10-0.20	0.16	0.22	0.38	1.49	0.6	53.4	0.3	5.1
12.5	1	2018	0.00-0.05	0.14	0.24	0.38	1.43	1.0	65.1	0.5	11.5
12.5	1	2018	0.05-0.10	0.15	0.24	0.39	1.49	1.0	65.8	0.5	12.6
12.5	1	2018	0.10-0.20	0.09	0.26	0.35	1.62	0.6	74.0	0.4	1.4
5	2	2018	0.00-0.05	0.06	0.28	0.33	1.60	0.5	48.2	0.3	2.8
5	2	2018	0.05-0.10	0.07	0.26	0.32	1.69	0.6	60.2	0.3	5.3
5	2	2018	0.10-0.20	0.09	0.25	0.34	1.64	0.6	67.9	0.4	1.6
12.5	2	2018	0.00-0.05	0.17	0.25	0.42	1.41	0.9	66.6	0.5	10.7
12.5	2	2018	0.05-0.10	0.15	0.23	0.39	1.45	0.7	63.1	0.4	7.2
12.5	2	2018	0.10-0.20	0.12	0.25	0.37	1.56	0.7	67.6	0.4	4.8
Ad. Mineral	3	2018	0.00-0.05	0.16	0.24	0.40	1.39	1.1	69.9	0.5	16.3
Ad. Mineral	3	2018	0.05-0.10	0.21	0.23	0.44	1.35	0.7	65.1	0.4	6.0
Ad. Mineral	3	2018	0.10-0.20	0.17	0.22	0.38	1.48	0.5	49.5	0.3	2.5
7.5	1	2018	0.00-0.05	0.12	0.25	0.37	1.43	0.9	75.1	0.5	10.0
7.5	1	2018	0.05-0.10	0.07	0.26	0.33	1.55	1.1	76.9	0.6	11.3
7.5	1	2018	0.10-0.20	0.08	0.24	0.32	1.57	1.0	74.6	0.5	11.4
7.5	2	2018	0.00-0.05	0.15	0.27	0.42	1.36	0.9	74.0	0.5	8.6
7.5	2	2018	0.05-0.10	0.16	0.24	0.40	1.36	1.0	73.0	0.5	11.1
7.5	2	2018	0.10-0.20	0.05	3.08	3.13	-1.21	0.8	67.1	0.5	6.8
12.5	3	2018	0.00-0.05	0.06	0.30	0.36	1.58	0.7	58.0	0.4	6.3
12.5	3	2018	0.05-0.10	0.03	0.28	0.31	1.75	0.6	66.4	0.4	2.8
12.5	3	2018	0.10-0.20	0.06	0.28	0.34	1.67	0.5	66.2	0.3	2.6
5	3	2018	0.00-0.05	0.14	0.26	0.40	1.42	0.9	65.3	0.4	10.9
5	3	2018	0.05-0.10	0.11	0.26	0.37	1.46	0.9	62.9	0.4	13.3
5	3	2018	0.10-0.20	0.07	0.27	0.34	1.61	0.8	75.8	0.5	5.5
10	4	2018	0.00-0.05	0.03	0.31	0.34	1.64	0.7	70.5	0.4	6.4
10	4	2018	0.05-0.10	0.09	0.38	0.47	1.80	0.8	71.9	0.5	6.4
10	4	2018	0.10-0.20	0.09	0.35	0.43	1.91	0.5	62.0	0.3	2.1
