DOSE	REP	Prof	MACRO	MICRO	PT	DS
0	1	0.00-0.05	0.15046447	0.25528712	0.40575159	1.413361059
0	1	0.05-0.10	0.088767521	0.260553009	0.349320531	1.576780429
0	1	0.10-0.20	0.096552329	0.253694744	0.350247073	1.586256819
10	1	0.00-0.05	0.119978888	0.249944129	0.369923018	1.456580799
10	1	0.05-0.10	0.106726696	0.256227669	0.362954365	1.518695806
10	1	0.10-0.20	0.08012412	0.265815283	0.345939403	1.63382921
5	1	0.00-0.05	0.138704711	0.259444656	0.398149368	1.496506857
5	1	0.05-0.10	0.095467547	0.260114477	0.355582024	1.521116255
5	1	0.10-0.20	0.096642665	0.268576709	0.365219374	1.530269176
Ad. Mineral	1	0.00-0.05	0.162806524	0.255897754	0.418704277	1.361304546
Ad. Mineral	1	0.05-0.10	0.170580965	0.245501141	0.416082107	1.417839638
Ad. Mineral	1	0.10-0.20	0.096524354	0.267585423	0.364109777	1.561952118
7.5	1	0.00-0.05	0.064331122	0.287774553	0.352105675	1.619857655
7.5	1	0.05-0.10	0.055745697	0.288252873	0.34399857	1.638615338
7.5	1	0.10-0.20	0.107848835	0.26640805	0.374256885	1.530453537
12.5	1	0.00-0.05	0.16140252	0.266918896	0.428321416	1.368515423
12.5	1	0.05-0.10	0.180009038	0.260028571	0.440037609	1.41046647
12.5	1	0.10-0.20	0.071147171	0.282799684	0.353946855	1.607623311
0	2	0.00-0.05	0.101115642	0.265722502	0.366838145	1.572756299
0	2	0.05-0.10	0.096443355	0.241530151	0.337973506	1.617605309
0	2	0.10-0.20	0.10355153	0.232885851	0.336437381	1.640149749
Ad. Mineral	2	0.00-0.05	0.133676305	0.245212472	0.378888777	1.487845124
Ad. Mineral	2	0.05-0.10	0.107877386	0.244922137	0.352799523	1.570711483
Ad. Mineral	2	0.10-0.20	0.091302688	0.253556626	0.344859314	1.595218266
10	2	0.00-0.05	0.155941632	0.257655441	0.413597072	1.428390173
10	2	0.05-0.10	0.179198494	0.23161615	0.410814644	1.421706615
10	2	0.10-0.20	0.25499485	0.207432469	0.462427319	1.312501796
5	2	0.00-0.05	0.21153827	0.229721677	0.441259947	1.290744337
5	2	0.05-0.10	0.119127463	0.24341515	0.362542614	1.508702141
5	2	0.10-0.20	0.142960747	0.224593803	0.36755455	1.460202715
12.5	2	0.00-0.05	0.231524392	0.242549363	0.474073756	1.175233279
12.5	2	0.05-0.10	0.075974719	0.26690744	0.342882159	1.576831108
12.5	2	0.10-0.20	0.133391516	0.233808323	0.367199839	1.50123127
7.5	2	0.00-0.05	0.20970706	0.243645518	0.453352578	1.264022275
7.5	2	0.05-0.10	0.099106512	0.261091526	0.360198038	1.524352544
7.5	2	0.10-0.20	0.070959977	0.255172079	0.326132056	1.641871958
Ad. Mineral	3	0.00-0.05	0.093061077	0.26279337	0.355854447	1.653987024
Ad. Mineral	3	0.05-0.10	0.11601922	0.269703448	0.385722669	1.553062976
Ad. Mineral	3	0.10-0.20	0.096985163	0.263953939	0.360939102	1.590336257
12.5	3	0.00-0.05	0.167755222	0.25092798	0.418683202	1.401108534
12.5	3	0.05-0.10	0.073870655	0.260386983	0.334257638	1.676665748
12.5	3	0.10-0.20	0.06425361	0.282109196	0.346362805	1.59503381
7.5	3	0.00-0.05	0.068585679	0.332463774	0.401049452	1.504076861
7.5	3	0.05-0.10	0.037295324	0.326541282	0.363836606	1.574415199
7.5	3	0.10-0.20	0.040481587	0.379722829	0.420204416	1.53663667
10	3	0.00-0.05	0.078732496	0.31450209	0.393234585	1.456693805
10	3	0.05-0.10	0.029500352	0.309467282	0.338967634	1.638271963
10	3	0.10-0.20	0.06551579	0.306341838	0.371857627	1.551280644
5	3	0.00-0.05	0.086766575	0.333890114	0.420656689	1.429615985
5	3	0.05-0.10	0.047058748	0.308716728	0.355775477	1.628629572
5	3	0.10-0.20	0.03523696	0.295459698	0.330696658	1.682085676
0	3	0.00-0.05	0.207645288	0.233910354	0.441555642	1.356019989
0	3	0.05-0.10	0.039556039	0.326054776	0.365610815	1.540566437
0	3	0.10-0.20	0.036313254	0.309021485	0.345334739	1.627637548
10	4	0.00-0.05	0.111261208	0.307832234	0.419093442	1.417003246
10	4	0.05-0.10	0.056666822	0.306078818	0.36274564	1.458520806
10	4	0.10-0.20	0.060597872	0.291061724	0.351659596	1.557858867
Ad. Mineral	4	0.00-0.05	0.026015302	0.331412331	0.357427634	1.587923163
Ad. Mineral	4	0.05-0.10	0.080305622	0.339969796	0.420275418	1.446620447
Ad. Mineral	4	0.10-0.20	0.093795916	0.319405621	0.413201537	1.484778256
12.5	4	0.00-0.05	0.302221542	0.276014919	0.578236462	1.012759183
12.5	4	0.05-0.10	0.126771765	0.301977925	0.42874969	1.387189156
12.5	4	0.10-0.20	0.071104011	0.335871035	0.406975046	1.442011963
5	4	0.00-0.05	0.116614234	0.329990517	0.446604751	1.393540098
5	4	0.05-0.10	0.139050174	0.304679355	0.44372953	1.339162291
5	4	0.10-0.20	0.052640622	0.301025326	0.353665948	1.537303739
7.5	4	0.00-0.05	0.075993375	0.336804902	0.412798277	1.440477772
7.5	4	0.05-0.10	0.086264237	0.303926159	0.390190396	1.492302287
7.5	4	0.10-0.20	0.048324953	0.344921084	0.393246038	1.545290768
0	4	0.00-0.05	0.223329736	0.284479544	0.50780928	1.190252338
0	4	0.05-0.10	0.110463937	0.320065763	0.4305297	1.368354546
0	4	0.10-0.20	0.09284268	0.311296043	0.404138723	1.430169361
