Dose	Bloco	Rep	ET
0	1	1	1.3951872
0	1	2	1.26574272
0	1	3	1.1518848
0	2	1	1.59629184
0	2	2	2.285712
0	2	3	1.221264
0	3	1	1.46532672
0	3	2	1.25889984
0	3	3	1.45012032
0	4	1	2.01731904
0	4	2	1.67688576
0	4	3	1.56188736
5	1	1	5.72749056
5	1	2	10.11643776
5	1	3	5.24164608
5	2	1	2.89529856
5	2	2	2.45279232
5	2	3	2.70692928
5	3	1	1.70710848
5	3	2	1.10930688
5	3	3	1.30242816
5	4	1	1.4103936
5	4	2	2.31916608
5	4	3	3.07701504
7.5	1	1	1.2754368
7.5	1	2	9.28407744
7.5	1	3	3.00839616
7.5	2	1	1.86791616
7.5	2	2	0.88501248
7.5	2	3	1.30185792
7.5	3	1	1.1680416
7.5	3	2	1.09904256
7.5	3	3	2.21557248
7.5	4	1	2.08441728
7.5	4	2	2.7314496
7.5	4	3	1.88388288
10	1	1	1.71205056
10	1	2	2.77478784
10	1	3	2.5822368
10	2	1	1.21004928
10	2	2	0.67250304
10	2	3	0.9865152
10	3	1	1.63012608
10	3	2	0.90402048
10	3	3	0.65900736
10	4	1	1.40716224
10	4	2	3.89835072
10	4	3	2.24161344
12.5	1	1	1.63031616
12.5	1	2	1.56017664
12.5	1	3	5.4533952
12.5	2	1	1.41096384
12.5	2	2	3.58034688
12.5	2	3	2.89073664
12.5	3	1	1.99888128
12.5	3	2	1.87057728
12.5	3	3	1.7610912
12.5	4	1	1.7791488
12.5	4	2	1.16785152
12.5	4	3	1.31003136
Ad. Mineral	1	1	1.48851648
Ad. Mineral	1	2	1.10759616
Ad. Mineral	1	3	1.52006976
Ad. Mineral	2	1	1.15302528
Ad. Mineral	2	2	1.268784
Ad. Mineral	2	3	1.81754496
Ad. Mineral	3	1	1.49060736
Ad. Mineral	3	2	2.60428608
Ad. Mineral	3	3	2.06883072
Ad. Mineral	4	1	0.77020416
Ad. Mineral	4	2	1.85879232
Ad. Mineral	4	3	2.36231424
